CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD;coche;tren;andando;bici;preferente?
Madrid-Oeste;28023911;IES;GERARDO DIEGO;Calle Irlanda, S/n ;Pozuelo de Alarcón;-;28224;913521003;913523965;ies.gerardodiego.pozuelodealarcon@educa.madrid.org;-;Público;16;;;;si
Madrid-Oeste;28038914;IES;CAMILO JOSE CELA;Calle Islas Cíes, 53 ;Pozuelo de Alarcón;-;28223;917155861;913529511;ies.camilojosecela.pozuelodealarcon@educa.madrid.org;-;Público;18;;;;si
Madrid-Oeste;28028571;IES;LAS ROZAS I;Calle Real, 52 ;Rozas de Madrid, Las;-;28231;916374006;916374323;ies.uno.lasrozas@educa.madrid.org;-;Público;18;;;;si
Madrid-Norte;28038847;IES;SEVERO OCHOA;Calle De Francisco Chico Mendes, 3 ;Alcobendas;-;28108;916620443;916612579;ies.severoochoa.alcobendas@educa.madrid.org;-;Público;18;;;;si
Madrid-Norte;28038070;IES;VIRGEN DE LA PAZ;Calle De Francisco Chico Mendes, 4 ;Alcobendas;-;28108;916615943;916618291;ies.lapaz.alcobendas@educa.madrid.org;-;Público;18;;;;si
Madrid-Norte;28000753;IES;FRANCISCO GINER DE LOS RIOS;Avenida De La Transición Española, 11 ;Alcobendas;-;28108;916525466;916511164;ies.ginerdelosrios.alcobendas@educa.madrid.org;-;Público;19;;;;si
Madrid-Oeste;28040787;IES;EL BURGO-IGNACIO ECHEVERRÍA;Avenida De España, 141 ;Rozas de Madrid, Las;-;28231;916393511;916344923;ies.burgoiecheverria.lasrozas@educa.madrid.org;-;Público;20;;;;si
Madrid-Oeste;28032501;IES;LEONARDO DA VINCI;Avenida Guadarrama, 42 ;Majadahonda;-;28220;916387423;916387513;ies.leonardodavinci.majadahonda@educa.madrid.org;-;Público;20;;;;si
Madrid-Oeste;28042073;IES;MARGARITA SALAS;Calle María Teresa León, 1 ;Majadahonda;-;28220;916340599;916340056;ies.margaritasalas.majadahonda@educa.madrid.org;-;Público;20;;;;si
Madrid-Norte;28001678;IES;JORGE MANRIQUE;Calle Del Mar Adriático, 2 ;Tres Cantos;-;28760;918040964;918046515;ies.jorgemanrique.trescantos@educa.madrid.org;-;Público;20;;;;si
Madrid-Norte;28040660;IES;ALDEBARAN;Avenida De Valdelaparra, 90 ;Alcobendas;-;28108;916618085;916618238;ies.aldebaran.alcobendas@educa.madrid.org;-;Público;21;;;;si
Madrid-Sur;28037004;IES;ENRIQUE TIERNO GALVAN;Calle Agustinos, S/n ;Leganés;-;28914;916947859;916941694;ies.tiernogalvan.leganes@educa.madrid.org;-;Público;22;;;;si
Madrid-Oeste;28001848;CP INF-PRI-SEC;PRINCIPE DON FELIPE;Calle De Juan Carlos I, 40 ;Boadilla del Monte;-;28660;916331626;916331954;cp.principedonfelipe.boadilla@educa.madrid.org;-;Público;22;;;;no
Madrid-Oeste;28048476;IES;FEDERICO GARCIA LORCA;Calle Gimnasio, 1 ;Rozas de Madrid, Las;-;28290;916304199;916302479;ies.garcialorca.lasrozas@educa.madrid.org;-;Público;22;;;;si
Madrid-Sur;28042115;IES;ITACA;Avenida De Los Castillos, S/n ;Alcorcón;-;28925;916101411;916116403;ies.itaca.alcorcon@educa.madrid.org;-;Público;22;;;;si
Madrid-Oeste;28075510;IES;JOSE GARCIA NIETO;Calle Camilo José Cela, 24 ;Rozas de Madrid, Las;-;28232;911733737;911731120;ies.josegarcianieto.lasrozas@educa.madrid.org;-;Público;22;;;;si
Madrid-Oeste;28058652;IES;JOSE SARAMAGO;Calle Del Maestro, 1 ;Majadahonda;-;28220;916398411;916347902;ies.josesaramago.majadahonda@educa.madrid.org;-;Público;22;;;;si
Madrid-Oeste;28041378;IES;PROFESOR MAXIMO TRUEBA;Calle De Santillana Del Mar, 22 ;Boadilla del Monte;-;28660;916321512;916321518;ies.maximotrueba.boadilla@educa.madrid.org;-;Público;22;;;;si
Madrid-Norte;28078043;IES;GLORIA FUERTES;Avenida Pablo Iglesias Esquina Con C/ Gloria Fuertes ;Alcobendas;-;28100;914900071;-;ies.gloriafuertes.alcobendas@educa.madrid.org;-;Público;22;;;;si
Madrid-Norte;28040799;IES;JULIO PALACIOS;Avenida Del Moscatelar, 19 ;San Sebastián de los Reyes;-;28703;916524999;916520194;ies.juliopalacios.sansebastian@educa.madrid.org;-;Público;22;;;;si
Madrid-Norte;28064044;IES;LUIS GARCIA BERLANGA;Camino De Chozas, S/n ;Guadalix de la Sierra;-;28794;918470636;-;ies.luisgarciaberlanga.guadalix@educa.madrid.org;-;Público;22;;;;si
Madrid-Norte;28042103;IES;PINTOR ANTONIO LOPEZ;Calle Del Orégano, 1 ;Tres Cantos;-;28760;918039102;918030328;ies.antoniolopez.trescantos@educa.madrid.org;-;Público;23;;;;si
Madrid-Oeste;28039943;IES;CARLOS BOUSOÑO;Calle Pinos, 10 ;Majadahonda;-;28221;916347660;916342046;ies.carlosbousono.majadahonda@educa.madrid.org;-;Público;24;;;;si
