code	type	26495087	"INDEX($A$2:$A$1699;RANDBETWEEN(1;1699))"
68170903	trap	91862578	
21597117	trap	36121917	
27744077	trap	42599677	
41356845	trap	86569121	
41356845	trap	12206212	
62325062	trap	29267084	
21070956	trap	79875176	
67987611	trap	4869446	
42364257	trap	38942059	
53112492	trap	41356845	
58921041	trap	35429292	
48539234	trap	32807846	
95132338	trap	11549357	
56246017	trap	40640057	
79649195	trap	80141480	
36868108	trap	16589042	
55348096	trap	85705804	
62633180	trap	22567609	
37053871	trap	8628798	
63689843	trap	53375573	
82705573	trap	67287533	
36280194	trap	83011277	
36280194	trap	38289717	
40633297	trap	92731455	
41925941	trap	58621589	
78783370	trap	81820689	
78783370	trap	68191243	
94463200	trap	44436472	
35149085	trap	49441499	
16255442	trap	1784619	
20374520	trap	9074847	
95472621	trap	83464209	
89041555	trap	92924317	
98239899	trap	93343894	
21466326	trap	12607053	
32015116	trap	40695128	
76532077	trap	2311603	
29401950	trap	94192409	
61622107	trap	23289281	
80163754	trap	33413638	
16970158	trap	83555666	
97077563	trap	4732017	
97077563	trap	53153481	
44209392	trap	69279219	
36468556	trap	88089103	
51394546	trap	40659562	
48276469	trap	12953226	
1248895	trap	89731911	
57139487	trap	99518961	
65830223	trap	32437102	
7565547	trap	66362965	
94192409	trap	22493811	
74458486	trap	46918794	
37083210	trap	37313786	
41398771	trap	4614116	
66742250	trap	39256679	
84970821	trap	14141448	
2926176	trap	2964201	
58851034	trap	3797883	
2833249	trap	39978267	
8628798	trap	98162242	
74701381	trap	35322812	
56769674	trap	1918087	
1804528	trap	8124921	
20522190	trap	73216412	
20858318	trap	50712728	
93599951	trap	66362965	
69122763	trap	40916023	
35027493	trap	97806240	
39131963	trap	66788016	
93747864	trap	87511987	
94212438	trap	34100324	
94212438	trap	29172562	
5616412	trap	29389368	
21219755	trap	27174286	
83241722	trap	31242786	
24623598	trap	40659562	
20727787	trap	47829960	
77561728	trap	36262024	
49010598	trap	43230671	
67464807	trap	4896788	
50045299	trap	61854111	
54178050	trap	47355498	
43250041	trap	55761792	
80193355	trap	34193084	
473469	trap	92924317	
55773067	trap	70861343	
60082869	trap	4869446	
60866277	trap	87340664	
42578427	trap	20374520	
61411502	trap	89997728	
28649820	trap	89405199	
96355986	trap	44472639	
56916805	trap	93108297	
26022485	trap	44656491	
95451366	trap	18807108	
21598948	trap	22996376	
17653779	trap	65830223	
3027001	trap	88472456	
77910045	trap	12800777	
81172176	trap	64697231	
81172176	trap	12057781	
58607704	trap	32240937	
52503575	trap	85519211	
97806240	trap	56830749	
74923978	trap	3134241	
26931058	trap	99351431	
57069605	trap	4266839	
49998907	trap	94463200	
1781310	trap	4042268	
37313786	trap	40737112	
98299011	trap	78984772	
4149689	trap	29654737	
9744376	trap	53112492	
52648457	trap	40937767	
57270476	trap	67494157	
61705417	trap	10189126	
33737664	trap	2118022	
85742772	trap	6343408	
89405199	trap	56916805	
55608151	trap	69313735	
73079365	trap	30170981	
88789641	trap	65475294	
52417194	trap	75285069	
22020907	trap	94772232	
21840375	trap	55761792	
98069388	trap	98239899	
15083728	trap	50939127	
65396880	trap	70821187	
30353551	trap	80604091	
61740673	trap	21840375	
54109233	trap	68401546	
36261276	trap	87774234	
21558682	trap	74591968	
83968380	trap	18144506	
55256016	trap	28546905	
4869446	trap	99785935	
24068492	trap	40737112	
21908319	trap	1995985	
66526672	trap	32062913	
28566710	trap	62121	
84397023	trap	41218256	
14318794	trap	86318356	
62867251	trap	87910978	
44595286	trap	94377247	
49587034	trap	8794435	
82452993	trap	19312169	
62279055	trap	42664989	
59344077	trap	36280194	
77414722	trap		
77414722	trap		
81210420	trap		
53119267	trap		
9074847	trap		
29549364	trap		
57882509	trap		
75646520	trap		
68540058	trap		
64274292	trap		
37580756	trap		
18190572	trap		
15800838	trap		
75392615	trap		
85519211	trap		
1918087	trap		
68334074	trap		
44095762	trap		
22359980	trap		
58392024	trap		
80863132	trap		
49251811	trap		
40172183	trap		
38411870	trap		
38299233	trap		
14315573	trap		
54704216	trap		
89628781	trap		
70861343	trap		
76848240	trap		
2130625	trap		
29389368	trap		
29843091	trap		
29843091	trap		
56995655	trap		
39537362	trap		
39019325	trap		
967928	trap		
63571750	trap		
63356631	trap		
63442604	trap		
74270067	trap		
58015506	trap		
90669991	trap		
34029630	trap		
73578229	trap		
53569894	trap		
1082946	trap		
4178474	trap		
12503902	trap		
82529174	trap		
31785398	trap		
28121403	trap		
37576645	trap		
17814387	trap		
94739788	trap		
8951260	trap		
27174286	trap		
77622396	trap		
83555666	trap		
83555666	trap		
70344351	trap		
30450531	trap		
90846359	trap		
88279736	trap		
83258273	trap		
20781762	trap		
93382620	trap		
33950246	trap		
51452091	trap		
93016201	trap		
56058888	trap		
56120475	trap		
27053506	trap		
57585212	trap		
3819470	trap		
29267084	trap		
58621589	trap		
59560625	trap		
82732705	trap		
126218	trap		
98139712	trap		
6733059	trap		
596051	trap		
44472639	trap		
41420027	trap		
35346968	trap		
23471572	trap		
76297408	trap		
92924317	trap		
20644748	trap		
1669772	trap		
38275183	trap		
29735721	trap		
10069180	trap		
18807108	trap		
18807108	trap		
53239672	trap		
92394653	trap		
65810489	trap		
92854392	trap		
71983925	trap		
90740329	trap		
90740329	trap		
92408984	trap		
68400115	trap		
34694160	trap		
31076103	trap		
296499	trap		
99517131	trap		
36361633	trap		
91781589	trap		
35316708	trap		
83675475	trap		
43509019	trap		
18605135	trap		
53582587	trap		
94256039	trap		
35686187	trap		
35686187	trap		
64697231	trap		
4206964	trap		
19252988	trap		
3055837	trap		
3149764	trap		
83887306	trap		
21237481	trap		
80604091	trap		
80604091	trap		
12607053	trap		
17078030	trap		
43487744	trap		
77754944	trap		
77754944	trap		
59744639	trap		
12253117	trap		
76515293	trap		
83133491	trap		
67048711	spell		
86198326	spell		
6850209	spell		
49140998	spell		
295517	spell		
28596933	spell		
89801755	spell		
21323861	spell		
25345186	spell		
81325903	spell		
303660	spell		
17092736	spell		
34236961	spell		
22796548	spell		
69296555	spell		
71453557	spell		
40619825	spell		
47453433	spell		
7165085	spell		
242146	spell		
10012614	spell		
61181383	spell		
46009906	spell		
61127349	spell		
51562916	spell		
41426869	spell		
55761792	spell		
65169794	spell		
30653113	spell		
25880422	spell		
20871001	spell		
2204140	spell		
14087893	spell		
91595718	spell		
38699854	spell		
87910978	spell		
24294108	spell		
18937875	spell		
17655904	spell		
84740193	spell		
69243953	spell		
4861205	spell		
72892473	spell		
12183332	spell		
57953380	spell		
42664989	spell		
1801154	spell		
28106077	spell		
79323590	spell		
4031928	spell		
61044390	spell		
97439308	spell		
69313735	spell		
81380218	spell		
21888494	spell		
60682203	spell		
8964854	spell		
43417563	spell		
17375316	spell		
68057622	spell		
33244944	spell		
69035382	spell		
96420087	spell		
62966332	spell		
23265313	spell		
31036355	spell		
12470447	spell		
94377247	spell		
5494820	spell		
60912752	spell		
33423043	spell		
70231910	spell		
78053598	spell		
4614116	spell		
90928333	spell		
53129443	spell		
2314238	spell		
85562745	spell		
47233801	spell		
45895206	spell		
80168720	spell		
95286165	spell		
19159413	spell		
69542930	spell		
44763025	spell		
39719977	spell		
72575145	spell		
84257639	spell		
84257639	spell		
11961740	spell		
56460688	spell		
87880531	spell		
95194279	spell		
23557835	spell		
22959079	spell		
23965037	spell		
34187685	spell		
3682106	spell		
24096228	spell		
16435215	spell		
1435851	spell		
55991637	spell		
32437102	spell		
31476755	spell		
59820352	spell		
82828051	spell		
97342942	spell		
69954399	spell		
37820550	spell		
90219263	spell		
39897277	spell		
6390406	spell		
53046408	spell		
30531525	spell		
98045062	spell		
95051344	spell		
5556668	spell		
5556668	spell		
26725158	spell		
26725158	spell		
97687912	spell		
20188127	spell		
32919136	spell		
37406863	spell		
95308449	spell		
18591904	spell		
73134081	spell		
73134081	spell		
60369732	spell		
66788016	spell		
75560629	spell		
98252586	spell		
87430998	spell		
46181000	spell		
9373534	spell		
48206762	spell		
33550694	spell		
26902560	spell		
37684215	spell		
27967615	spell		
56594520	spell		
7512044	spell		
24668830	spell		
42703248	spell		
98792570	spell		
45311864	spell		
11868825	spell		
79571449	spell		
74137509	spell		
82542267	spell		
16762927	spell		
32022366	spell		
90502999	spell		
34370473	spell		
55321970	spell		
80811661	spell		
26412047	spell		
18144506	spell		
18144506	spell		
18144506	spell		
75782277	spell		
64801562	spell		
35762283	spell		
19613556	spell		
10248192	spell		
46130346	spell		
38552107	spell		
64047146	spell		
96631852	spell		
33031674	spell		
52684508	spell		
14391920	spell		
94163677	spell		
23615409	spell		
96965364	spell		
16227556	spell		
98374133	spell		
95214051	spell		
21770260	spell		
33784505	spell		
35059553	spell		
97570038	spell		
60519422	spell		
87210505	spell		
77007920	spell		
85602018	spell		
85602018	spell		
96458440	spell		
61854111	spell		
3136426	spell		
25290459	spell		
37231841	spell		
55226821	spell		
